Code prdt,DESIGNATION,Classe,Date,month,year,vente,stock,Total,cg,ipp,pfc,cde,hedelix,respi,gastro,otc,mb,vip,P_valeur,feature
PFC005,Ialugyn ovules boite de 10,C,2023-01-01 00:00:00,1,2023,1724,2941,5117,1,1,0,1,0,0,0,0,0,0,0.045409415,13247.869827871
PFC005,Ialugyn ovules boite de 10,C,2023-02-01 00:00:00,2,2023,1572,4105,2566,1,1,0,1,0,0,0,0,0,0,0.045409415,2478.993326774
PFC005,Ialugyn ovules boite de 10,C,2023-03-01 00:00:00,3,2023,1482,3358,2541,1,1,0,1,0,0,0,0,0,0,0.045409415,2942.4253479390004
PFC005,Ialugyn ovules boite de 10,C,2023-04-01 00:00:00,4,2023,921,3252,1662,1,1,1,1,0,0,0,0,0,0,0.045409415,749.848106652
PFC005,Ialugyn ovules boite de 10,C,2023-05-01 00:00:00,5,2023,2420,3919,2437,1,1,1,1,0,0,0,0,0,0,0.045409415,2776.7938514589996
PFC005,Ialugyn ovules boite de 10,C,2023-06-01 00:00:00,6,2023,2236,6176,2494,1,1,1,1,0,0,0,0,0,0,0.045409415,2920.994874394
PFC005,Ialugyn ovules boite de 10,C,2023-07-01 00:00:00,7,2023,1699,7544,1515,1,1,1,1,0,0,0,0,0,0,0.045409415,1362.2958189150002
PFC005,Ialugyn ovules boite de 10,C,2023-08-01 00:00:00,8,2023,2261,4923,2430,1,1,0,1,1,0,0,0,0,0,0.045409415,2901.3066866699996
PFC005,Ialugyn ovules boite de 10,C,2023-09-01 00:00:00,9,2023,2677,5694,3416,1,1,1,1,1,0,0,0,0,0,0.045409415,3724.6128767679998
PFC005,Ialugyn ovules boite de 10,C,2023-10-01 00:00:00,10,2023,3689,8346,3234,1,1,1,1,1,1,1,1,1,1,0.045409415,3000.090336012
PFC005,Ialugyn ovules boite de 10,C,2023-11-01 00:00:00,11,2023,3275,10668,3069,1,1,1,1,1,1,1,1,1,1,0.045409415,3831.1225204229995
PFC005,Ialugyn ovules boite de 10,C,2023-12-01 00:00:00,12,2023,2390,10859,361,1,1,1,1,1,1,1,1,1,1,0.045409415,152.707172077
PFC005,Ialugyn ovules boite de 10,C,2024-01-01 00:00:00,1,2024,2538,12160,1743,0,0,1,0,0,1,1,1,1,1,0.045409415,4512.612294309
PFC005,Ialugyn ovules boite de 10,C,2024-02-01 00:00:00,2,2024,2762,8594,2204,0,0,1,0,0,1,1,1,1,1,0.045409415,2129.267845756
PFC005,Ialugyn ovules boite de 10,C,2024-03-01 00:00:00,3,2024,2135,9091,4158,0,0,1,0,0,1,1,1,1,1,0.045409415,4814.877842082
PFC005,Ialugyn ovules boite de 10,C,2024-04-01 00:00:00,4,2024,1706,9653,486,0,0,1,0,0,0,0,0,0,0,0.045409415,219.269662956
PFC005,Ialugyn ovules boite de 10,C,2024-05-01 00:00:00,5,2024,2521,8741,2154,0,0,1,0,0,0,0,0,0,0,0.045409415,2454.334819878
PFC005,Ialugyn ovules boite de 10,C,2024-06-01 00:00:00,6,2024,1904,7468,1915,0,0,1,0,0,0,0,0,0,0,0.045409415,2242.864949665
PFC005,Ialugyn ovules boite de 10,C,2024-07-01 00:00:00,7,2024,2294,7674,1812,0,0,1,0,0,0,0,0,0,0,0.045409415,1629.359751732
PFC005,Ialugyn ovules boite de 10,C,2024-08-01 00:00:00,8,2024,12008,9131,1528,0,0,1,0,0,0,0,0,0,0,0.045409415,1824.3607478319998
PFC005,Ialugyn ovules boite de 10,C,2024-09-01 00:00:00,9,2024,2634,8233,2366,0,0,1,0,0,0,0,0,0,0,0.045409415,2579.752361368
PFC005,Ialugyn ovules boite de 10,C,2024-10-01 00:00:00,10,2024,2934,7689,2836,0,0,1,0,0,0,0,0,0,0,0.045409415,2630.876992248
PFC005,Ialugyn ovules boite de 10,C,2024-11-01 00:00:00,11,2024,5374,7350,4957,0,0,1,0,0,0,0,0,0,0,0.045409415,6187.968176519
PFC005,Ialugyn ovules boite de 10,C,2024-12-01 00:00:00,12,2024,42,7289,1160,0,0,1,0,0,0,0,0,0,0,0.045409415,490.69340611999996
PFC005,Ialugyn ovules boite de 10,C,2025-01-01 00:00:00,1,2025,42,300,1502,0,0,0,0,0,0,0,0,0,0,0.045409415,3888.665327626
PFC007,Asterane stick boite de 20,NC,2023-01-01 00:00:00,1,2023,521,821,2188,1,1,0,1,0,0,0,0,0,0,0.612110862,3880.81414834
PFC007,Asterane stick boite de 20,NC,2023-02-01 00:00:00,2,2023,648,1607,814,1,1,0,1,0,0,0,0,0,0,0.612110862,701.192834012
PFC007,Asterane stick boite de 20,NC,2023-03-01 00:00:00,3,2023,473,1848,607,1,1,0,1,0,0,0,0,0,0,0.612110862,915.799489982
