Code prdt,DESIGNATION,Classe,Date,month,year,vente,stock,Total,cg,ipp,pfc,cde,hedelix,respi,gastro,otc,mb,vip,P_valeur,feature
PF009,Amuchina 5% solution externe flacon 250 ML,A-,2023-01-01,1,2023,18480.0,30675.0,30508.0,1,1,0,1,0,0,0,0,0,0,0.776231508,40486.117446832
PF012,"Dermosone 0,05% crème dermique tube 15GR",A0,2023-01-01,1,2023,17909.0,19819.0,28417.0,1,1,0,1,0,0,0,0,0,0,0.205630823,31790.044589708
PF013,"Dermosone 0,05% pomade dermique tube 15GR",A0,2023-01-01,1,2023,31336.0,34152.0,42070.0,1,1,0,1,0,0,0,0,0,0,0.462327689,46889.9582172
PF014,"Fluskin 0,05% gel dermique tube 30GR",B,2023-01-01,1,2023,1645.0,3247.0,2600.0,1,1,0,1,0,0,0,0,0,0,0.313386971,3473.9364894
PF017,"Dermosone Neo 0,05% pomade dermique tube 15GR",B,2023-01-01,1,2023,106.0,121.0,200.0,1,1,0,1,0,0,0,0,0,0,0.999999976,17723.4056375
PF019,Ecorex 1% lait dermique flacon 30 ML,NC,2023-01-01,1,2023,7742.0,10412.0,12500.0,1,1,0,1,0,0,0,0,0,0,0.047868432,17723.4056375
PF022,Mucosol 5% sirop adulte flacon 200GR,NC,2023-01-01,1,2023,21364.0,6318.0,52985.0,1,1,0,1,0,0,0,0,0,0,0.90718478,97511.362854635
PF023,Verax Blu bain de bouche flacon 120ML,A0,2023-01-01,1,2023,20530.0,21639.0,32405.0,1,1,0,1,0,0,0,0,0,0,0.425879642,47530.77485235
PF024,Ecorex 1% crème dermique tube 30GR,A0,2023-01-01,1,2023,13341.0,15932.0,22421.0,1,1,0,1,0,0,0,0,0,0,0.111177372,32986.068780574
PF031,Ecorex 150MG ovule boite de 3,B,2023-01-01,1,2023,6336.0,9477.0,7300.0,1,1,0,1,0,0,0,0,0,0,0.094307124,10737.7877298
PF036,"Dermosalic 0,05% pomade dermique tube 30GR",A0,2023-01-01,1,2023,40979.0,34739.0,50729.0,1,1,0,1,0,0,0,0,0,0,0.087291744,61578.596644495
PF037,"Dermosalic 0,05% lotion flacon 30GR",A0,2023-01-01,1,2023,11358.0,10214.0,18857.0,1,1,0,1,0,0,0,0,0,0,0.360531278,25808.418909908
PF049,"Glyss 0,77G suppositoire nourrisson boite de 10",B,2023-01-01,1,2023,12408.0,15846.0,23616.0,1,1,0,1,0,0,0,0,0,0,0.068225186,33777.764040384
PF065,Diclopal 1% gel dermique tube 50 GR,NC,2023-01-01,1,2023,5583.0,7053.0,6450.0,1,1,0,1,0,0,0,0,0,0,0.270431284,6362.7022041
PF066,Diclopal 100MG suppositoire boite de 10,NC,2023-01-01,1,2023,5838.0,8372.0,8248.0,1,1,0,1,0,0,0,0,0,0,0.330101672,10730.402110624
PF068,"Bromisol 0,2% solution buvable flacon 60ML",NC,2023-01-01,1,2023,8503.0,4288.0,16950.0,1,1,0,1,0,0,0,0,0,0,0.473711674,24478.5113898
PF076,Aciclovir 5% crème dermique tube 5 GR,A+,2023-01-01,1,2023,12372.0,10065.0,17934.0,1,1,0,1,0,0,0,0,0,0,0.008851811,28662.964423968
PF083,Mycorex 1% crème dermique tube 30 GR,NC,2023-01-01,1,2023,2419.0,3072.0,4450.0,1,1,0,1,0,0,0,0,0,0,0.188558848,9509.87675865
PF090,Aciclovir 8% suspension buvable flacon 125ML,B,2023-01-01,1,2023,321.0,1114.0,519.0,1,1,0,1,0,0,0,0,0,0,0.192227015,641.5315570079999
PF091,Tussipax sirop enfant flacon 125ML,NC,2023-01-01,1,2023,6732.0,4964.0,14037.0,1,1,0,1,0,0,0,0,0,0,0.969332145,19638.113321409
PF097,Afusidic 2% crème dermique tube 15GR,A0,2023-01-01,1,2023,9268.0,22707.0,10000.0,1,1,0,1,0,0,0,0,0,0,0.137426862,6988.410309999999
PF098,"Moment 200 gouttes buvables flacon 12,5ML",NC,2023-01-01,1,2023,4595.0,5845.0,8550.0,1,1,0,1,0,0,0,0,0,0,0.171788393,13048.86204225
PF109,Relaxil 4MG,B,2023-01-01,1,2023,1331.0,2010.0,1160.0,1,1,0,1,0,0,0,0,0,0,0.412399179,2087.2661550000003
PF110,Tallis 1% crème dermique tube 15GR,C,2023-01-01,1,2023,878.0,1762.0,800.0,1,1,0,1,0,0,0,0,0,0,0.06267665,976.0
PF118,"Pradis 0,1% solution buvable flacon 200 ML",B,2023-01-01,1,2023,2333.0,3925.0,3528.0,1,1,0,1,0,0,0,0,0,0,0.257555938,3087.0
PF119,Pradis 10MG suppositoire boite de 10,NC,2023-01-01,1,2023,1739.0,3660.0,1836.0,1,1,0,1,0,0,0,0,0,0,0.779211485,2388.406237452
PF120,Axen 100 MG suppositoire boite de 10,A-,2023-01-01,1,2023,15965.0,15756.0,26792.0,1,1,0,1,0,0,0,0,0,0,0.502098728,39093.97828516
PF130,Aciclovir Opalia 200MG comprimé boite de 30,C,2023-01-01,1,2023,378.0,946.0,372.0,1,1,0,1,0,0,0,0,0,0,0.613787704,592.29185652
PF132,Tallis spray 1% flacon 15 ML,NC,2023-01-01,1,2023,306.0,956.0,500.0,1,1,0,1,0,0,0,0,0,0,0.568704124,876.1682245
PF135,Fer Plus solution buvable flacon 250ML,A+,2023-01-01,1,2023,6426.0,9333.0,11334.0,1,1,0,1,0,0,0,0,0,0,0.012466042,15513.555376404
PF136,Fluderm 0.005% pomade dermique tube 30G,NC,2023-01-01,1,2023,2496.0,3354.0,2894.0,1,1,0,1,0,0,0,0,0,0,0.131928892,4007.718578976
PF137,Cortinase 64MCG spray nasal flacon 120 dose,A+,2023-01-01,1,2023,4429.0,3254.0,7002.0,1,1,0,1,0,0,0,0,0,0,0.045168261,10629.310590432
PF142,Rinosal 50MCG spray nasal 120 doses,A0,2023-01-01,1,2023,8021.0,9594.0,11302.0,1,1,0,1,0,0,0,0,0,0,0.050646489,13571.672352934002
PF143,Domper suspension buvable flacon 200 ML,NC,2023-01-01,1,2023,2420.0,5526.0,3803.0,1,1,0,1,0,0,0,0,0,0,0.113364591,6882.723037512
PF145,Gaba 300 MG gélule boite de 90,A0,2023-01-01,1,2023,474.0,718.0,600.0,1,1,0,1,0,0,0,0,0,0,0.300621583882475,950.9692134
