Code prdt,DESIGNATION,Classe,Date,month,year,vente,stock,Total,cg,ipp,pfc,cde,hedelix,respi,gastro,otc,mb,vip,P_valeur,feature,vente_lag1,vente_lag2,stock_lag1,stock_lag2,total_lag1,total_lag2,feature_lag1,feature_lag2,vente_roll3,stock_roll3,total_roll3,feature_roll3,month_sin,month_cos,vente_trend,vente_season,stock_trend,stock_season,Total_trend,Total_season,feature_trend,feature_season,cluster_label
PF009,Amuchina 5% solution externe flacon 250 ML,A-,2023-01-01,1,2023,18480.0,30675.0,30508.0,1,1,0,1,0,0,0,0,0,0,0.776231508,40486.117446832,18480.0,7108.312157721796,30675.0,30675.0,7481.279541905257,7479.654983570646,40486.117446832,2876.072092191,18480.0,30675.0,30508.0,40486.117446832,0.49999999999999994,0.8660254037844387,42239.59490740734,-23759.594907407376,39975.13066558074,-9300.130665580726,42070.78757684294,21533.77559103457,64668.27144994938,50475.368999945,1
PF012,"Dermosone 0,05% crème dermique tube 15GR",A0,2023-01-01,1,2023,17909.0,19819.0,28417.0,1,1,0,1,0,0,0,0,0,0,0.205630823,31790.044589708,17909.0,7108.312157721796,19819.0,19819.0,7481.279541905257,7479.654983570646,31790.044589708,2876.072092191,17909.0,19819.0,28417.0,31790.044589708,0.49999999999999994,0.8660254037844387,23193.194922678762,-5284.194922678745,37077.22430555557,19532.875694444436,34573.125000000015,-6156.125000000019,44129.47994682379,-12339.435357115806,1
PF013,"Dermosone 0,05% pomade dermique tube 15GR",A0,2023-01-01,1,2023,31336.0,34152.0,42070.0,1,1,0,1,0,0,0,0,0,0,0.462327689,46889.9582172,31336.0,7108.312157721796,34152.0,34152.0,7481.279541905257,7479.654983570646,46889.9582172,2876.072092191,31336.0,34152.0,42070.0,46889.9582172,0.49999999999999994,0.8660254037844387,44686.35416666664,-13350.354166666666,55420.13888888887,-21268.138888888854,49245.69834533599,-6704.090320644697,56390.51428729215,-4120.561159192883,1
PF014,"Fluskin 0,05% gel dermique tube 30GR",B,2023-01-01,1,2023,1645.0,3247.0,2600.0,1,1,0,1,0,0,0,0,0,0,0.313386971,3473.9364894,1645.0,7108.312157721796,3247.0,3247.0,7481.279541905257,7479.654983570646,3473.9364894,2876.072092191,1645.0,3247.0,2600.0,3473.9364894,0.49999999999999994,0.8660254037844387,1778.7027769375957,-478.3998366507296,1776.285486204599,1470.7145137954014,658.6664437824996,-171.23470054505984,1298.2647662620252,-234.67960554197577,0
PF017,"Dermosone Neo 0,05% pomade dermique tube 15GR",B,2023-01-01,1,2023,106.0,121.0,200.0,1,1,0,1,0,0,0,0,0,0,0.999999976,17723.4056375,106.0,7108.312157721796,121.0,121.0,7481.279541905257,7479.654983570646,17723.4056375,2876.072092191,106.0,121.0,200.0,17723.4056375,0.49999999999999994,0.8660254037844387,126.03023866852755,-8.145879615409253,247.40208333333337,-126.4020833333333,324.0191845557397,-74.32464695554332,297.43648398576056,-73.93897656874456,0
PF019,Ecorex 1% lait dermique flacon 30 ML,NC,2023-01-01,1,2023,7742.0,10412.0,12500.0,1,1,0,1,0,0,0,0,0,0,0.047868432,17723.4056375,7742.0,7108.312157721796,10412.0,10412.0,7481.279541905257,7479.654983570646,17723.4056375,2876.072092191,7742.0,10412.0,12500.0,17723.4056375,0.49999999999999994,0.8660254037844387,10315.311306819985,419.86824647378415,12881.297916666666,-2469.2979166666687,14669.897569444469,-2343.02256944441,16376.774763311076,1035.6798493750928,1
PF022,Mucosol 5% sirop adulte flacon 200GR,NC,2023-01-01,1,2023,21364.0,6318.0,52985.0,1,1,0,1,0,0,0,0,0,0,0.90718478,97511.362854635,21364.0,7108.312157721796,6318.0,6318.0,7481.279541905257,7479.654983570646,97511.362854635,2876.072092191,21364.0,6318.0,52985.0,97511.362854635,0.49999999999999994,0.8660254037844387,12808.50694122386,8555.493060202849,12560.642361118656,-6242.642361118649,23265.65964225383,15014.247566253136,9956.001429299658,37942.13976206427,2
PF023,Verax Blu bain de bouche flacon 120ML,A0,2023-01-01,1,2023,20530.0,21639.0,32405.0,1,1,0,1,0,0,0,0,0,0,0.425879642,47530.77485235,20530.0,7108.312157721796,21639.0,21639.0,7481.279541905257,7479.654983570646,47530.77485235,2876.072092191,20530.0,21639.0,32405.0,47530.77485235,0.49999999999999994,0.8660254037844387,31784.70370370368,-11254.703703703679,36983.12232701024,-15344.122327010242,41274.145833333314,-8869.145833333314,43254.781682861176,4275.99316948882,0
PF024,Ecorex 1% crème dermique tube 30GR,A0,2023-01-01,1,2023,13341.0,15932.0,22421.0,1,1,0,1,0,0,0,0,0,0,0.111177372,32986.068780574,13341.0,7108.312157721796,15932.0,15932.0,7481.279541905257,7479.654983570646,32986.068780574,2876.072092191,13341.0,15932.0,22421.0,32986.068780574,0.49999999999999994,0.8660254037844387,22623.07638888888,-9282.076388888887,18344.080984129658,-2412.0809667569843,28125.585569876104,-7057.577311872049,30485.57944549153,2500.4893350824623,0
PF031,Ecorex 150MG ovule boite de 3,B,2023-01-01,1,2023,6336.0,9477.0,7300.0,1,1,0,1,0,0,0,0,0,0,0.094307124,10737.7877298,6336.0,7108.312157721796,9477.0,9477.0,7481.279541905257,7479.654983570646,10737.7877298,2876.072092191,6336.0,9477.0,7300.0,10737.7877298,0.49999999999999994,0.8660254037844387,9833.56805555555,-3497.568055555553,11737.270833333314,-2260.2708333333194,10962.981213517602,-3662.9790438943037,12462.054948431442,-1724.2672186314458,1
